"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"0.484","0.381","2","-6.815","0","0.0541","0.853","0","0.119","0.644","169.506","195920","4"
"0.415","0.38","4","-5.115","1","0.057","0.639","0","0.124","0.524","193.596","206333","4"
"0.647","0.274","0","-8.15","0","0.0624","0.648","0.000114","0.112","0.161","96.158","180437","4"
"0.775","0.692","10","-5.109","0","0.0663","0.327","0.00000431","0.111","0.471","130.003","159007","4"
"0.678","0.378","11","-8.813","0","0.0285","0.665","0.00112","0.0822","0.0771","109.94","163918","4"
"0.453","0.343","7","-8.369","1","0.0352","0.567","0","0.347","0.74","96.935","205552","4"
"0.567","0.875","8","-2.791","0","0.231","0.244","0.0000019","0.0554","0.669","165.238","148739","4"
"0.366","0.519","5","-6.066","1","0.0331","0.35","0","0.145","0.308","124.632","176587","4"
"0.58","0.511","3","-7.131","0","0.0391","0.478","0","0.0916","0.507","140.062","202845","4"
"0.554","0.622","8","-8.916","0","0.0529","0.317","0.00159","0.282","0.345","89.971","256578","4"
"0.613","0.518","2","-7.082","1","0.0359","0.131","0","0.0854","0.176","130.031","268840","4"
"0.211","0.928","0","-7.596","1","0.0824","0.000146","0.0000963","0.39","0.293","100.666","174274","4"
"0.373","0.812","9","-5.719","0","0.0469","0.000286","0.0000296","0.249","0.399","146.302","251804","4"
"0.795","0.69","9","-9.272","1","0.0724","0.165","0.00000393","0.122","0.667","126.996","181955","4"
"0.545","0.59","3","-8.788","1","0.0388","0.653","0.0428","0.127","0.476","140.127","247313","4"
"0.333","0.691","6","-5.224","0","0.0428","0.0135","0.0000575","0.164","0.341","125.204","165000","4"
"0.395","0.271","6","-9.753","0","0.038","0.912","0","0.104","0.609","81.857","165329","4"
"0.165","0.149","9","-11.498","1","0.0344","0.912","0.0000112","0.0839","0.111","81.315","221237","3"
"0.559","0.914","4","-6.869","0","0.0739","0.023","0","0.365","0.772","80.995","184417","4"
"0.351","0.293","5","-11.491","0","0.029","0.688","0.0101","0.111","0.211","146.868","222283","4"
"0.642","0.686","11","-7.649","1","0.0288","0.00197","0","0.0995","0.325","76.002","199075","4"
"0.633","0.612","2","-9.103","1","0.101","0.182","0.239","0.138","0.0977","105.988","291931","4"
"0.585","0.267","7","-13.118","0","0.0555","0.592","0","0.0827","0.273","152.929","370674","4"
"0.595","0.542","0","-6.443","1","0.0287","0.0322","0","0.106","0.217","130.05","194480","4"
"0.537","0.441","0","-8.814","1","0.0321","0.297","0.00239","0.117","0.196","77.02","300050","4"
"0.632","0.276","9","-6.655","0","0.0283","0.731","0.00000117","0.367","0.261","104.083","204150","4"
"0.496","0.405","10","-11.128","1","0.051","0.676","0.00000499","0.169","0.369","127.417","212729","4"
"0.47","0.253","6","-13.42","1","0.0307","0.78","0.0396","0.125","0.251","119.848","249145","3"
"0.602","0.894","1","-4.713","0","0.0564","0.0137","0.0000369","0.128","0.669","118.991","262827","4"
"0.641","0.408","4","-6.927","1","0.0304","0.741","0.0000233","0.0978","0.679","138.46","160015","4"
"0.604","0.266","0","-12.397","0","0.0307","0.873","0.000407","0.11","0.333","97.889","197759","4"
"0.678","0.446","4","-11.002","0","0.104","0.412","0.000189","0.119","0.652","105.981","171602","3"
"0.773","0.556","10","-8.148","1","0.0455","0.546","0.00000207","0.0923","0.335","100.015","259374","4"
"0.546","0.299","5","-14.999","1","0.0386","0.668","0.109","0.111","0.789","115.464","235580","4"
"0.683","0.397","4","-6.247","0","0.057","0.451","0","0.234","0.329","135.18","142643","4"
"0.532","0.288","5","-10.926","1","0.0356","0.818","0.00000112","0.184","0.58","122.253","197830","4"
"0.495","0.216","8","-9.294","1","0.0369","0.925","0","0.108","0.303","110.678","169227","4"
"0.782","0.659","4","-7.379","1","0.0837","0.606","0","0.891","0.801","128.027","173067","4"
"0.499","0.21","1","-9.124","1","0.0409","0.884","0.0000117","0.722","0.376","140.07","285867","3"
"0.453","0.586","4","-6.741","0","0.0395","0.86","0","0.751","0.133","119.306","257267","4"
"0.538","0.434","4","-11.516","1","0.0411","0.803","0.000923","0.711","0.199","117.826","303600","4"
"0.624","0.214","2","-9.471","0","0.0457","0.841","0","0.701","0.3","125.149","246500","3"
"0.505","0.15","8","-9.795","1","0.0439","0.833","0","0.0988","0.383","133.237","291960","4"
"0.428","0.694","11","-8.455","1","0.0978","0.697","0","0.764","0.574","145.353","243942","4"
"0.543","0.123","2","-12.991","1","0.164","0.896","0.0000286","0.676","0.116","70.059","243093","4"
"0.697","0.508","5","-8.811","1","0.0542","0.861","0","0.932","0.412","137.706","200853","4"
"0.433","0.922","8","-6.8","1","0.12","0.123","0.0000048","0.93","0.5","138.203","234027","3"
"0.409","0.375","9","-6.195","1","0.0336","0.887","0","0.125","0.209","128.912","266720","4"
"0.529","0.0964","0","-22.052","1","0.0459","0.808","0.0628","0.709","0.142","151.286","174373","4"
"0.651","0.371","8","-9.977","1","0.0353","0.498","0","0.615","0.527","138.832","201746","4"
"0.597","0.945","5","-6.264","0","0.0917","0.1","0.00000707","0.629","0.531","159.975","266427","4"
"0.439","0.749","7","-4.78","0","0.0591","0.65","0.00144","0.918","0.554","172.395","199509","4"
"0.709","0.571","7","-9.742","1","0.117","0.294","0.0000165","0.645","0.43","116.533","231271","4"
"0.549","0.525","0","-12.83","1","0.335","0.777","0","0.646","0.423","130.863","223027","4"
"0.511","0.518","11","-11.898","0","0.0675","0.738","0","0.678","0.509","127.271","208000","4"
"0.744","0.487","11","-9.369","1","0.0774","0.189","0.00000241","0.692","0.622","97.112","236379","4"
"0.682","0.553","10","-6.143","1","0.0446","0.561","0","0.944","0.513","120.005","273091","4"
"0.333","0.691","6","-5.224","0","0.0428","0.0135","0.0000575","0.164","0.341","125.204","165000","4"
"0.707","0.138","4","-10.102","1","0.0429","0.82","0","0.135","0.591","84.924","194818","4"
"0.395","0.271","6","-9.753","0","0.038","0.912","0","0.104","0.609","81.857","165329","4"
"0.378","0.256","4","-8.899","1","0.0336","0.841","0","0.0854","0.359","123.828","222527","4"
"0.165","0.149","9","-11.498","1","0.0344","0.912","0.0000112","0.0839","0.111","81.315","221237","3"
"0.434","0.66","8","-6.152","1","0.0362","0.139","0","0.0851","0.587","80.504","167050","4"
"0.559","0.914","4","-6.869","0","0.0739","0.023","0","0.365","0.772","80.995","184417","4"
"0.323","0.159","4","-16.517","0","0.0332","0.94","0.00532","0.0892","0.156","135.68","292687","3"
"0.351","0.293","5","-11.491","0","0.029","0.688","0.0101","0.111","0.211","146.868","222283","4"
"0.697","0.619","9","-7.142","1","0.05","0.00828","0","0.203","0.535","94.97","237023","4"
"0.642","0.686","11","-7.649","1","0.0288","0.00197","0","0.0995","0.325","76.002","199075","4"
"0.618","0.542","11","-7.249","0","0.0548","0.332","0.00144","0.0831","0.36","118.078","220371","4"
"0.633","0.612","2","-9.103","1","0.101","0.182","0.239","0.138","0.0977","105.988","291931","4"
"0.815","0.288","0","-12.607","0","0.399","0.799","0","0.104","0.421","125.605","287961","4"
"0.585","0.267","7","-13.118","0","0.0555","0.592","0","0.0827","0.273","152.929","370674","4"
"0.629","0.741","11","-6.598","1","0.0378","0.0398","0","0.361","0.517","89.994","174973","3"
"0.595","0.542","0","-6.443","1","0.0287","0.0322","0","0.106","0.217","130.05","194480","4"
"0.648","0.474","3","-7.175","0","0.0816","0.709","0.00000815","0.0914","0.464","77.098","212793","4"
"0.537","0.441","0","-8.814","1","0.0321","0.297","0.00239","0.117","0.196","77.02","300050","4"
"0.53","0.557","3","-5.298","0","0.0279","0.503","0.0000392","0.104","0.362","87.11","224017","4"
"0.632","0.276","9","-6.655","0","0.0283","0.731","0.00000117","0.367","0.261","104.083","204150","4"
"0.728","0.542","0","-8.331","1","0.0562","0.0853","0","0.504","0.67","121.995","238686","4"
"0.496","0.405","10","-11.128","1","0.051","0.676","0.00000499","0.169","0.369","127.417","212729","4"
"0.537","0.512","6","-8.66","1","0.317","0.463","0.0000012","0.0964","0.177","75.828","171172","4"
"0.478","0.481","4","-8.94","1","0.107","0.0653","0.0000602","0.234","0.346","183.869","246702","4"
"0.479","0.403","2","-12.394","1","0.0287","0.0211","0.0992","0.0762","0.917","158.231","149422","4"
"0.477","0.297","3","-13.955","1","0.0328","0.664","0.000595","0.103","0.455","137.067","247102","4"
